token_hi,token_en
सर्वांग,holistic  
थर्मोडाइनेमिक,thermodynamic  
ग्रीनवे,Greenway  
जहरीली,toxic  
राघानन्द,Raghanand  
२४२८,2428  
गैलिलीयो,Galileo  
चासर,Chaucer  
कानूनवाले,legal  
परिधि,circumference  
जनकवि,folk-poet  
पीपलधार,Peepaldhar  
अनुसरणकर्ता,follower  
रैवतक,Ravatak  
नैरंतर्य,continuity  
निवृत,retired  
आजसु,AJSU  
पटिया,plank  
अंशांकित,calibrated  
चादरों,sheets  
नीपर,Dnieper  
आत्मज्ञान,self-realization  
अन्जेंगो,Anjengo  
डांटते,scolding  
फुकुशिमा,Fukushima  
बुंदेलखंडी,Bundelkhandi  
स्तालिन,Stalin  
मही,Mahi  
जनसंख्यानुसार,population-wise  
स्टेटसन,Stetson  
श्रेणीयां,categories  
मान्यताएं,beliefs  
अरहर,pigeonpea  
खन्नौत,Khannaut  
नारानको,Naranko  
सर्वभूतेषु,all-beings  
जलेबी,jalebi  
यकायक,suddenly  
फ्रोजेन,frozen  
अंतःकपालीय,intracranial  
नोट,note  
चूमा,kissed  
विसंगतियों,discrepancies  
मेइ,Mei  
पिछेती,delayed  
नेवरलैंड,Neverland  
पार्चमैन,Parchman  
पेटरोल,petrol  
गढ़चिरौली,Gadchiroli 
अनजाने,unknown
परक्लोरेट,perchlorate
इक्कों,aces
लें, take
रेटिनॉल,retinol
विधिशास्त्र,jurisprudence
एडमिशन,admission
बार्बरी,barbary
बालुरघाट,Balurghat
वर्णक,pigment
भाषाविश्लेषण,linguistics
पॉलिश,polish
घुमाया,rotated
यूलिया,Yulia
उत्पलकुमार,UtpalaKumar
वरूथिनी,Varuthini
बारू,Baaru
फटा,torn
इन्फोर्समेंट,enforcement
लुंग,Lung
ताम,Tam
मनोविश्लेषक,psychoanalyst
बहुतही,very
नजीबाबाद,Najibabad
हस्तान्तरन,transfer
सट्टे,betting
आइन्स्टाइन,Einstein
बड,bud
ऐलेक्ज़ैन्डर,Alexander
विद्यालंकार,Vidyālankar
चतुष्क,quadrilateral
बेताल,Vetal
बन्धुओं,brothers
प्राधिकारियों,authorities
प्रोटेक्शन,protection
नेन,Nen
व्यंजित,expressed
चिपकाई,stuck
सपोर्ट,support
सैंटा,Santa
न्यूरोसिफलिस,neurosyphilis
पोरी,Pori
कोच्चि,Kochi
वनवासियों,tribals
मिडलैंड,Midland
रुम,room
१२६९,1269
डिजिटल,digital
परिकल्पनाओं,concepts
जम्बुद्वीप,Jambudweep
जिनका,whose
देवगृह,temple
दैत्यराज,demonking
थ्रेडेड,threaded
डेल्यूमिनेटर,deluminator
प्रोद्योगिकियों,technologies
बेसमेंट,basement
ग़ुबार,dust
आइकोनिक,iconic
टोरेंटो,Toronto
मूल्यांकन,evaluation
बृजभूषण,Brijbhushan
अतिवादी,extremist
दीने,Dine
सुरेश्वराचार्य,Sureshwaracharya
सौंपना,assign
अनुलाप,iteration
जूडी,Judy
आरआई,RI
मेघनाद,Meghnad
सिंहासनद्वात्रिंशति,SimhasanDwavatrimshika
पृष्ठ,page
गुर्मीत,Gurmeet
उद्धेश्य,objective
अल्टीमा,Altima
कॆ,ke
कामा,Kama
वेपोराइज़र,vaporizer
उत्सर्गी,dedicated
पहुंचाये,delivered
रोनाल्डिन्हो,Ronaldinho
धुर,core
प्रतिद्वंदियों,rivals
जोया,Zoya
सुभग,charming
बार्का,Barca
कोबर्ग,Coburg
मेइतेइ,Meitei
अंतर्खण्डात्मक,intercontinental
असंक्रामक,noninfectious
नोन,none
रुपिये,rupees
धुआँधार,foamy
हाइपरलिंक,hyperlink
ब्रह्मराक्षस,Brahmarakshas
पंक्षियों,birds
गारुलिया,Garulia
कार्तीय,Cartesian
आकाशगंगा,galaxy
एसपीवी,SPV
बूँद,drop
दाहकर्म,cremation
रूई,cotton
बिठूर,Bithoor
कटाई,harvest
८४६,846
बड़थ्वाल,Barthwal
स्ट्रोकों,strokes
पत्रिकाओ,magazines
संप्रदायी,sectarian
कीवर्ड्स,keywords
बक्सा,box
गोजाल,Gojal
डिस्ट्रिक्ट,district
टेलीनॉर,Telenor
ब्रैंडों,Brandon
विल्हेम,Wilhelm
प्रोबायोटिक्स,probiotics
चलाए,operated
आइसलैण्ड,Iceland
वित्तपोषक,funder
जंगले,forests
पंपास,Pampas
कैथोलिकवाद,Catholicism
चीका,Chika
२६८४,2684
ऊन्होने,they
लिखाने,to write
जेनेरल,General
फस्ट,first
कॉन्स्टेंस,Constance
गंभीर,serious
वांक्षित,desired
डीघ,Deegh
तलवंडी,Talwandi
भेलपुरी,Bhelpuri
हिन्दुत्ववादी,Hindutva
बघारा,Baghara
हरनारायण,Harnarayan
हार्नेस,harness
बिट,bit
असम्बंधित,unrelated
पौइन्ट्स,points
अनुगामी,successor
सिद्धिदात्री,Siddhidatri
पिण्डों,clusters
बंधुवर्मा,Bandhuvarma
११४९,1149
बालोचिस्तान,Balochistan
रोवे,Rowe
कार्लसन,Carlson
कमंडलु,kamandalu
सट्टकों,gambling
शोकगीत,dirge
चारों,all
इमरान,Imran
कोमोरोस,Comoros
बचान,saving
अलभ्य,inaccessible
चमत्कारों,miracles
भेल्डा,Bhelda
२६८५,2685
उत्पलाचार्य,Utpalacharya
चैरिटेबल,charitable
रुचिकर,interesting
अलबरुनी,Al-Biruni
मैन्युफैक्चरिंग,manufacturing
स्फटिकता,crystallinity
आनंदपाल,Anandpal
नजर,sight
ईर्ष्या,jealousy
बांठिया,Banthia
उखाड़,uproot
ग़रीबी,poverty
रोडसिंगर,Roadsinger
अणुओ,atoms
अहिलेसम्म,until now
ऊर्दू,Urdu
दुब्लिश,Dublish
चतुर्भुजों,quadrilaterals
न्युक्लियोटाइड्स,nucleotides
किन्नरी,Kinnari
अनुक्रमिक,sequential
छितकुल,Chitkul
यिंगलक,Yingluck
दोष,defect
लापरवाही,negligence
अरहंत,Arhant
लाइसेंसधारी,licensee
वर्णनात्मकता,descriptiveness
दिवेही,Dhivehi
इसराईल,Israel
नानका,Nanka
कश्ती,boat
कार्डबोर्ड,cardboard
तलवों,soles
मतवादों,ideologies
सातकर्णि,Satakarni
सफा,clean
बछड़ा,calf
लगर,Lagar
दावों,claims
नाइजल,Nigel
घुमन्तु,nomadic
रसगुल्ला,rasgulla
गुलिस्तोन,Gulistan
गूज,echo
जातिगत,caste-based
तिमिर,darkness
सुनीता,Sunita
पुर्नस्थापित,restored
गाँठें,knots
पियरे,Pierre
झुनझुनी,tingling
टोनल,tonal
बर्स्ट,burst
क्षितिमोहन,Kshitimohan
रेमिंगटन,Remington
ओरेनबूर्ग,Orenburg
भक्तिपरक,devotional
टूटन,collapse
पात्रों,characters
सैमसंग,Samsung
प्रतिकर्षण,repulsion
रसगुल्ले,rasgullas
असमान्यता,irregularity
मॉर्डोर,Mordor
अव,now
अथीना,Athena
ग्रीफिथ,Griffith
शिर्षक,title
इतिहासविदों,historians
काफलीगैर,Kafaligarh
gustavo,Gustavo
वेद,veda
प्रयोग,usage
टेक्निक्स,techniques
बावड़ी,stepwell
जिरात,cultivation
zhou,Zhou
बाइजेन्टाइन,Byzantine
ईस्टर,Easter
होतीं,happen
बढ़ोत्तरी,increase
प्रत्यंग,limb
खु़दा,God
पहाड़ों,mountains
मोटोरोला,Motorola
शिरोबिंदु,apex
प्रतिष्टित,established
एकात्मक,unitary
जखर,Jakhar
पूनरासर,Poonrassar
ब्रेनर,Brenner
छपरा,Chhapra
अर्ध्य,offering
गुंडिचा,Gundicha
१८५३,1853
ऑनरेबल,Honorable
टिस्टा,Teesta
निस्संतान,childless
दैविक,divine
भावज,sister-in-law
गोहद,Gohad
एशोसिएशन,association
श्वसनी,bronchus
विनिर्देश,specification
अपनो,own
एम्नियोटिक,amniotic
७३६,736
एर्टेल,Ertel
सौंपी,assigned
आसवनी,Asavani
मूलस्थान,origin
अदूरदर्शिता,shortsightedness
जहिया,Jahiya
हाइड्रेज़ीन,hydrazine
नुकीली,pointed
मोईनुद्दीन,Moinuddin
छपा,published
बिगडने,deteriorate
कृषियोग्य,arable
इलस्ट्रेशन,illustration
कीर्ति,fame
फ्रीक,freak
नजरें,glances
हैबर,Haber
पुनरोत्थान,revival
श्रीलंकाई,SriLankan
फॉरमैट,format
रिक,Rick
२९०१,2901
अधिकारिता,jurisdiction
१५४६,1546
फिलिस्तीनियों,Palestinians
गाउट,gout
रजनीकान्त,Rajnikanth
bengkulu,Bengkulu
थैलोफाइटा,Thallophyta
पच्चीसवें,twenty-fifth
ऑर्बिटर,Orbiter
neodymium,Neodymium
कोर्फू,Corfu
आर्लिंग्टन,Arlington
बिनाका,Binaca
atwood,Atwood
प्राणशक्ति,vitality
पंज,fist
लादने,loading
अनुष्टान,ritual
पुलि,Puli
भजन,hymn
व्लोरे,Vlore
उधमसिंह,UdhamSingh
पुत्रियाँ,daughters
पितृस्थानीय,paternal
समिधा,sacrificialwood
नोटों,notes
पातीं,receive
संश्लेषक,synthesizer
कलाकृतियां,artworks
सौरमंडल,solarsystem
गुरचरण,Gurcharan
विद्युद्विधि,electrochemistry
bursa,Bursa
santo,Santo
जुड़वें,twins
विंका,Vinca
प्लाटिनम,platinum
gene,Gene
डौल,posture
वेल,well
मुर्ती,idol
आक्साइडों,oxides
political,political
अंतःस्राव,secretion
bac,BAC
pangio,Pangio
डेंग,Deng
१४००,1400
डेलो,Delo
शास्त्री,Shastri
ज़ूनोसिस,zoonosis
सनेह,affection
शि‍खर,peak
combustion,combustion
वेदमती,Vedmati
मैरीनेर्स,Mariners
मिसालें,examples
pama,Pama
गाएल,Gael
रफीपुर,Rafipur
clarendon,Clarendon
kedarnath,Kedarnath
हिन्दको,Hindko
enemy,enemy
arenas,Arenas
खितोली,Khitholi
हैनान,Hainan
सेण्ट,cent
१५९३,1593
म्यूरा,Myura
संघनन,condensation
प्रत्यावर्त्य,reciprocal
प्रणालीगत,systemic
निशि,Nishi
stimulating,stimulating
अतियोग,excess
मोइनुद्दीन,Moinuddin
संतो,sages
७९१,791
सिम्पसंस,Simpsons
सुकेन्द्रिक,eukaryotic
जेनोवा,Genoa
वासी,inhabitant
ऋग्वेद,Rigveda
कर्ज़ों,loans
भाशा,language
रेफलेक्टिव,reflective
अर्पिता,Arpita
esophagus,esophagus
पौण्डा,Ponda
मिन्नी,Minni
मुखं,face
यूनिसिस,Unisys
टियोतिहुआकान,Teotihuacan
खेड़े,Khede
प्राक्षेपिकी,ballistics
१०६३,1063
द्रोणाचल,Dronachal
परात्पर,supreme
कोलम्बियाई,Colombian
सिद्धांतत,theoretically
शराब,alcohol
हेरोडोटस,Herodotus
माइक्रोनीशिया,Micronesia
गोश्त,meat
नालंदा,Nalanda
महकमे,departments
अनिर्णित,undecided
स्टीवेंस,Stevens
पकडे,caught
प्रतिवेदित,reported
नेवल,naval
अंगोलाई,Angolan
घूरने,staring
कांगों,Congo
डंडो,sticks
विघालय,school
षोडश,sixteen
विरूपता,deformity
स्नायु,nerve
दर्शाना,display
शुद्धतम,purest
अंतरालीय,interstitial
साइकेडेलिक,psychedelic
ऊनी,woolen
१४३०,1430
गोम्स,Gomes
स्टॉफ़,staff
मणिशंकर,Manishankar
स्री,Sri
राजतंत्रीय,monarchical
बघेलखंड,Baghelkhand
कंसोर्टियम,consortium
किरणो,rays
दिखा,showed
छापे,raids
पेंजर,cage
अनुसंधान,research
खड्डा,pit
११९२,1192
कैमरून,Cameroon
जगथली,Jagathali
बचपन,childhood
जीवनदायी,life-giving
रेगमाल,sandpaper
प्रेतबाधा,haunting
पुराप्राचीन,ancient
विकेन्द्रीकृत,decentralized
प्रगामी,progressive
इण्डियम,indium
जलसंत्रासी,hydrophobic
अर्हत्,worthy
इलेक्ट्रान,electron
बूँदी,droplet
सगे,related
प्रतिभूतियाँ,securities
ह्यूज,Hughes
घुश्मा,Ghushma
९८१,981
पर्वसंधि,joint
मिन्ह,Minh
क्षुधावर्धक,appetizer
माओरी,Maori
प्राकॄतिक,natural
बाईप्लेन,biplane
मुफ़्त,free
तदनुरूप,corresponding
५९३,593
जुंटा,junta
हमेषा,always
पक्का,firm
कर्णावती,Karnavati
निषेधात्मक,prohibitive
नजरिये,perspective
बेबीलोनियन,Babylonian
प्रतिऑक्सीकारक,antioxidant
इष्टदेव,deity
गोकर्णनाथ,Gokarnanath
सियारा,Siara
विल्फ्रेड,Wilfred
कार्यकर्म,program
पूतना,Putana
स्वसिद्ध,self-evident
फ़ैरो,pharaoh
वर्गविहीन,classless
सुराही,pitcher
परिवर्तनकारी,transformative
थककर,exhausted
मिरई,Mirai
नृशंसता,brutality
लेडी,lady
मेहबूब,Mehboob
ब्रह्मोस,BrahMos
क्रमानुदेशन,sequencing
विभिन्नस,various
योसेफ,Joseph
सदीयों,centuries
क्रेस्ट,crest
हरिमन्दिर,Harimandir
लक्ष्मीनंदन,Lakshminandan
गलफड़ा,gill
वनस्पतिज्ञ,botanist
उत्तेजनीय,excitable
तपस्या,penance
विषेश,special
गाहा,Gaha
डोबसन,Dobson
विरंचि,Viranchi
थ्रोइंग,throwing
ओलंपियन,Olympian
स्टायरिया,Styria
तियाही,Tiyahi
कविहृदय,poetic
कंबु,Kambu
तहख़ाना,cellar
सर्व,all
स्वच्छंद,free-spirited
शब्बीर,Shabbir
पैशाचिकी,fiendish
क्लियो,Cleo
फर्शों,floors
महमूदाबाद,Mahmoodabad
क्युएबा,Queba
ओईनवार,Oeinwar
८३०,830
बिठाना,seating
फॉल्स,Falls
महत्‍वपूर्ण,important
चूकती,misses
रुड,Rud
शुजी,Shuji
पिनाराई,Pinarayi
प्रज्जवलित,ignited
रसूल,Rasool
क्रशर,crusher
कवींद्र,Kavindra
गड़बड़,mess
बम्बू,bamboo
नविन,Navin
मोएन,Moen
ऍचडी,HD
मैनहैटन,Manhattan
ब्रजराज,Brajaraj
तय्यारी,preparation
संदूषण,pollution
कम्प्यूटेबिलिटी,computability
नलचरितम्,Nalcharitam
जीवनसंगी,life-partner
धुंआधार,smoky
अवज्ञा,disobedience
प्रणालियाँ,systems
कोपर्निकस,Copernicus
२५९७,2597
पित्तमार्ग,biliary
चौपाए,quadrupeds
प्रस्तोता,presenter
बर्लुस्कोनी,Berlusconi
अश्मरी,calculus
स्टीन,Stein
गजनवी,Ghaznavi
क्रैसक्स,Crasus
अभिजात्य,elite
बोम्बा,Bomba
दंतचक्र,dentition
बौंली,Baunli
५६००,5600
ऐन्कोरेज,Anchorage
व्यवहार,behavior
हरमल,Harmal
कॉर्परेशन,corporation
जुलिया,Julia
मध्यकाय,mesomorphic
श्रुतियों,scriptures
सर्वदमन,Sarvadaman
शिलांग,Shillong
फिनीस,Phineas
आस्की,ASCII
मनोभाजन,dissociation
शरच्चंद्र,SaratChandra
गणपतये,Ganapataye
श्रावकों,laymen
समायोजित,adjusted
इसा,Isa
धैमाड़े,Dhaimade
शाहूजी,Shahuji
लोककवि,folkpoet
अपलिंक,uplink
किकू,Kiku
नादिरा,Nadira
मंगेतर,fiancé
अतिदेश,extrapolation
राठोड,Rathod
अनुष्ठानपरक,ritualistic
गुल्ज़ार,Gulzar
नातू,Natu
अग्रप्रदेश,forefront
फाफामऊ,Phaphamau
लेली,Leli
चिम्पान्जियों,chimpanzees
रिलेशन्स,relations
मधेसी,Madhesi
४३,43
गिजगिजिया,Gijgijia
नवरत्न,Navratna
नस्ट,ruined
दिशाहीन,directionless
नौपरिवहन,shipping
अंशुल,Anshul
माए,Mae
गनना,counting
सोलर,solar
सैम्पल,sample
विस्ता,Vista
अंतरंगता,intimacy
स्नोई,Snowy
घटत्व,density
बाथिंग,bathing
बूझे,quenched
ड्रॉइडफ्लेयर,Droidflare
मंगोलियाई,Mongolian
विश्वघस्त्र,Vishwaghastra
लाइस,Lice
पीईटी,PET
गिनीज,Guinness
हरमायनी,Hermione
हटाते,removing
ठन्डे,cold
रोलबैकर्स,rollbackers
लच्छे,curls
मानती,agrees
छन्दोबद्ध,metrical
सखियों,friends
pigment,pigment
सौपे,assigned
पृथ्वीसिंह,Prithvisingh
गोकलपुर,Gokalpur
तज्जन्य,derivative
चक्कों,wheels
ऊहा,conjecture
पाएँगे,willget
एकांतवासी,hermit
प्रशंसको,admirers
ग्रेगरी,Gregory
भेदोपभेदों,distinctions
गुंजा,Gunja
निकोटीन,nicotine
चेंज,change
अंधकों,darkeners
इवेन्ट,event
सर्वकार्य,universalwork
बरतें,exercise
सांख्यिकीविद्,statistician
रमाबाई,Ramabai
अवसादक,sedative
चरनी,Charny
शब्दशः,verbatim
एप्लायंसेज,appliances
हीडलबर्ग,Heidelberg
अधिमिश्रित,superalloy
सफेदपोश,whitecollar
कोडांतरण,transcoding
इंटरप्राइज,enterprise
एडिटिव,additive
शिरूर,Shirur
titanium,titanium
polite,polite
ऑडिशन,audition
तर्के,arguments
तीर्थस्थल,pilgrimage
संराअमेरिका,USA
दाउद,Dawood
आर्नल्ड,Arnold
अङ्ग्रेजों,Englishmen
शौचालयों,toilets
स्टेथोस्कोप,stethoscope
परमिशन,permission
घरती,Gharti
डायनोसोर,dinosaur
elevation,elevation
अपप्रयोग,misuse
श्यानता,viscosity
fatal,fatal
शाकिब,Shakib
गुमालगाँव,Gumalgaon
अज़रबेजान,Azerbaijan
mucosa,mucosa
गंगोरी,Gangori
प्रस्थ,plateau
आमान,Aman
४५,45
महागणपति,Mahaganapati
निशिकांत,Nishikant
common,common
मेडीसन,medicine
uniquely,uniquely
lite,lite
फलनिक,analytic
सखुजा,Sakhuja
व्याख्याकारों,commentators
समझा,understood
ईण्डीयुम,indium
कार्याधिकार,jurisdiction
बेवर्ली,Beverly
भिखारी,beggar
शिंजो,Shinzo
करम,karma
मोच,sprain
मंडोर,Mandore
रंगरूट,recruit
बोलने,speaking
२५वें,25th
छोड़ना,leave
माइक्रोवैस्कुलर,microvascular
लंबरूप,vertical
ग्लूऑन,gluon
उपलब्धी,achievement
परमाण्विक,atomic
नाइजेल,Nigel
इंटरफेसेस,interfaces
दैनन्दिन,daily
नर्व,nerve
ग्लोबस,globus
डल,dull
गेराल्ड,Gerald
लोककथाएँ,folktales
वास्‍तविक,real
पंगु,crippled
लाकर,locker
जलापूर्ति,water supply
जियाउद्दीन,Ziauddin
केनेथ,Kenneth
ऐनुअल,annual
भूयांत्रिकी,geomechanics
सूर्यलोक,solar world
अध्‍यक्ष,president
१३३६,1336
अटाकामा,Atacama
रामनवमी,Ramanavami
भोलानाथ,Bholanath
व्हाट्स,whats
लौरेंट,Laurent
टेरेरिज्म,terrorism
वैद्युत्‌,electric
चित्तर,Chittar
हेडेन,Hayden
प्रशस्तिपत्र,certificate
तूना,tuna
फुँकनी,blower
जलसेतु,aqueduct
भागती,running
फरनेंडिस,Fernandes
ओक्टेट,octet
ज़ैन,Zain
तिहारे,Tihare
स्पंदनों,vibrations
टकसाल,mint
रज़ावी,Razavi
एसीटोन,acetone
लाइलक,lilac
हनीफा,Hanifa
चतुष्पद,quadruped
इमामशाह,Imamshah
कामिनी,Kamini
परम्‍परागत,traditional
फ़्लिक्कर,flicker
विंशति,twenty
येलोलाइन,Yellowline
मिरिस्टिका,Myristica
जोड़ियों,pairs
आईवाज़ोवस्की,Aivazovsky
इंधनों,fuels
थोलिंग,Tholing
ज्ञानार्णव,Gyanarnav
आसामी,Assamese
लैड,lead
लिखती,writes
स्नेइज्देर,Sneijder
५८००,5800
सिनई,Sinai
सांख्यदर्शन,Sankhya philosophy
निथार,filtration
श्रेष्ट,best
गुटबाजी,factionalism
वैष्णवन,Vaishnavan
स्टीफेंस,Stephens
लोडिंग,loading
एनिमे,anime
कौम्ब,Comb
मावा,mawa
भू,earth
२९१४,2914
चोहान,Chauhan
भूतकालिक,past
रैक्व,Raque
मोत,death
गॄह,house
ट्रॉन,Tron
गोकर्णेश्वर,Gokarneshwar
उदया,Udaya
गरिमामय,dignified
एकबार,once
सिमरा,Simara
पिलायें,give
सब्बीर,Sabbir
८७८,878
सुरीश,Sureesh
जहरीला,poisonous
कुठार,axe
कॉन्फ़िगरेशन,configuration
वेश्या,prostitute
एंटीमनी,antimony
पसीना,sweat
मात्रक,unit
मुख्यमन्त्री,chief minister
लीरा,lira
स्‍वाद,taste
चक्री,cyclone
अत्र,here
अर्द्धशतक,half-century
सदोष,faulty
एमवी,MV
स़हिरों,Sahiron
फाबियो,Fabio
लीख़्टेनश्टाइन,Liechtenstein
अभिकलित्र,computer
पिंडो,Pindo
मंग,Mang
श्रीगणेश,Shree Ganesh
सिसरौ,Sisrau
सुरीली,melodious
भितरकनिका,Bhitarkanika
युद्ध,war
फैज़ाबाद,Faizabad
क्लारेंस,Clarence
क्षेत्रफ़ल,area
आदिकाल,ancient era
झुंड,herd
मांडो,Mando
खुछ,khuch
हिल्सा,Hilsa
सूत्रपात,beginning
अभिव्यंजनावाद,expressionism
अंकटाड,UNCTAD
मोड़ने,bending
टॉक्सिक,toxic
डिस्पर्शन,dispersion
नरसीला,Narsila
जिंकल्या,Jinkalya
फॉर्मेशन,formation
मासौं,Masau
बदा,bound
वैज्ञानिक,scientist
फ्रांसोवा,Francois
अभियोगी,accused
कारमेन,Carmen
अरूणाचल,Arunachal
निशानेबाजों,shooters
वडाली,Wadali
समाजशास्त्रियों,sociologists
एटलेटिको,Atletico
संसंजन,cohesion
स्केल,scale
अादि,beginning
बथौली,Bathauli
टॉमबॉ,Tombow
बुन्देल,Bundel
बिजनौर,Bijnor
केला,banana
मीरीखील,Mirikhil
काॅले,College
पहिला,first
फिल्मायी,filmed
रंगमती,Rangamati
लाइटर,lighter
मेरिन,Marin
परिपक्व,mature
लफ्ज़,word
चिकीत्सा,medicine
अनुभव,experience
बायोकेमिस्ट,biochemist
वरदराजन,Varadarajan
२९,29
रोपनी,Ropani
सौध,Sodh
एंड्रोयड्स,Androids
ट्रांसक्रिप्ट,transcript
असिन,Asin
गुंबददार,dome-shaped
लौवर,Louvre
मुग्धबोध,Mugdhabodh
तात्पर्यटीका,Tatparyateeka
घबराये,anxious
मंडित,adorned
